rlamD,r_as,intensity,core_contrast,core_thruput,core_mean_intensity,core_area,occ_trans
10.8,0.777,3.29E-12,1.26E-09,0.0424,0.0026,0.0046,0.3085
11,0.791,3.19E-12,1.21E-09,0.0424,0.0026,0.0046,0.3085
11.2,0.805,3.13E-12,1.19E-09,0.0424,0.0026,0.0046,0.3085
11.4,0.82,3.12E-12,1.19E-09,0.0425,0.0026,0.0046,0.3085
11.6,0.834,3.13E-12,1.19E-09,0.0425,0.0026,0.0046,0.3085
11.8,0.849,3.06E-12,1.17E-09,0.0425,0.0026,0.0046,0.3086
12,0.863,2.98E-12,1.14E-09,0.0425,0.0026,0.0046,0.3086
12.2,0.877,2.83E-12,1.08E-09,0.0425,0.0026,0.0046,0.3086
12.4,0.892,2.75E-12,1.05E-09,0.0425,0.0026,0.0046,0.3086
12.6,0.906,2.65E-12,1.01E-09,0.0425,0.0026,0.0046,0.3087
12.8,0.921,2.65E-12,1.01E-09,0.0425,0.0026,0.0046,0.3087
13,0.935,2.78E-12,1.06E-09,0.0425,0.0026,0.0046,0.3087
13.2,0.949,2.91E-12,1.11E-09,0.0425,0.0026,0.0046,0.3088
13.4,0.964,3.10E-12,1.18E-09,0.0425,0.0026,0.0046,0.3088
13.6,0.978,3.16E-12,1.20E-09,0.0425,0.0026,0.0046,0.3088
13.8,0.992,3.31E-12,1.26E-09,0.0425,0.0026,0.0046,0.3089
14,1.007,3.30E-12,1.26E-09,0.0425,0.0026,0.0046,0.3089
14.2,1.021,3.42E-12,1.30E-09,0.0425,0.0026,0.0046,0.3089
14.4,1.036,3.50E-12,1.33E-09,0.0425,0.0026,0.0046,0.3089
14.6,1.05,3.50E-12,1.33E-09,0.0425,0.0026,0.0046,0.3089
14.8,1.064,3.52E-12,1.34E-09,0.0425,0.0026,0.0046,0.3089
15,1.079,3.50E-12,1.33E-09,0.0425,0.0026,0.0046,0.309
15.2,1.093,3.50E-12,1.33E-09,0.0425,0.0026,0.0046,0.309
15.4,1.108,3.53E-12,1.34E-09,0.0425,0.0026,0.0046,0.3091
15.6,1.122,3.60E-12,1.37E-09,0.0425,0.0026,0.0046,0.3091
15.8,1.136,3.56E-12,1.35E-09,0.0425,0.0026,0.0046,0.3092
16,1.151,3.68E-12,1.40E-09,0.0425,0.0026,0.0046,0.3094
16.2,1.165,3.63E-12,1.38E-09,0.0425,0.0026,0.0046,0.3094
16.4,1.179,3.75E-12,1.43E-09,0.0425,0.0026,0.0046,0.3091
16.6,1.194,3.74E-12,1.43E-09,0.0423,0.0026,0.0046,0.308
16.8,1.208,3.72E-12,1.43E-09,0.0421,0.0026,0.0046,0.3062
17,1.223,3.63E-12,1.41E-09,0.0417,0.0026,0.0046,0.3036
17.2,1.237,3.59E-12,1.40E-09,0.0413,0.0026,0.0046,0.3008
17.4,1.251,3.71E-12,1.46E-09,0.041,0.0025,0.0046,0.2983
17.6,1.266,3.53E-12,1.40E-09,0.0409,0.0025,0.0046,0.2968
17.8,1.28,3.41E-12,1.36E-09,0.0408,0.0025,0.0046,0.2963
18,1.295,3.24E-12,1.29E-09,0.0392,0.0025,0.0043,0.2951
18.2,1.309,3.44E-12,1.39E-09,0.0385,0.0025,0.0043,0.2904
18.4,1.323,4.13E-12,1.74E-09,0.0369,0.0024,0.0043,0.2797
18.6,1.338,5.00E-12,2.23E-09,0.0359,0.0022,0.0046,0.2635
18.8,1.352,5.39E-12,2.57E-09,0.0337,0.0021,0.0046,0.2465
19,1.366,5.44E-12,2.75E-09,0.0319,0.002,0.0046,0.2324
19.2,1.381,5.35E-12,2.84E-09,0.0304,0.0019,0.0046,0.2218
19.4,1.395,6.16E-12,3.46E-09,0.029,0.0018,0.0046,0.2094
19.6,1.41,8.46E-12,5.36E-09,0.0246,0.0016,0.0041,0.1857
19.8,1.424,1.28E-11,8.55E-09,0.0165,0.0015,0.0031,0.1759
#comment: Produced by Hanying Zhou 8/21/2020,,,,,,,
